Compound,Gini
Pacritinib,0.473482195
Defactinib,0.47761864
Gilteritinib,0.511679147
Midostaurin,0.51866464
Brigatinib,0.53131656
Sunitinib,0.541916849
Ponatinib,0.547185435
Bosutinib,0.571501849
Abemaciclib,0.582397253
Abrocitinib,0.585040921
Fedratinib,0.592726228
Capmatinib,0.593936035
Crizotinib,0.602115439
Neratinib,0.605556428
Ruxolitinib,0.606078786
Asciminib,0.606757357
Vemurafenib,0.612215187
Paxalisib,0.616626332
Gedatolisib,0.618409282
Nintedanib,0.625945277
Fostamatinib,0.627060865
Repotrectinib,0.627595422
Baricitinib,0.628174507
Lapatinib,0.628842483
Ceritinib,0.633469854
Pexidartinib,0.637463242
Selumetinib,0.648886412
Dabrafenib,0.651549783
Selpercatinib,0.654177121
Cobimetinib,0.654335927
Tucatinib,0.659189487
Avapritinib,0.659347034
Pirtobrutinib,0.660594645
Pralsetinib,0.663005701
Gefitinib,0.663568264
Alectinib,0.665941907
Dacomitinib,0.668333248
Pazopanib,0.672685727
Tivozanib,0.675884081
Acalabrutinib,0.677008651
Canertinib,0.678917613
Ripretinib,0.679007934
Umbralisib,0.681096363
Upadacitinib,0.681772301
Netarsudil,0.688616901
Entrectinib,0.688901428
Tofacitinib,0.690074711
Binimetinib,0.690944771
Palbociclib,0.691051238
Lorlatinib,0.696746131
Dasatinib,0.698375663
Axitinib,0.70012759
Erlotinib,0.701084916
Rabusertib,0.702251665
Apatinib,0.705979535
Sirolimus,0.708772353
Afatinib,0.712188745
Everolimus,0.716693688
Infigratinib,0.717009625
Trametinib,0.7171523
Ibrutinib,0.719813379
Imatinib,0.720115559
Futibatinib,0.720623065
Deucravacitinib,0.724518459
Pemigatinib,0.724570017
Regorafenib,0.725063955
Remibrutinib,0.726936816
Tepotinib,0.727591574
Vandetanib,0.728165835
Lenvatinib,0.730487164
Darovasertib,0.732366436
Ribociclib,0.735432302
Osimertinib,0.735616183
Temsirolimus,0.737446878
Quizartinib,0.739295481
Erdafitinib,0.740442802
Larotrectinib,0.757000587
Cabozantinib,0.748149934
Encorafenib,0.756557483
Mobocertinib,0.760097063
Nilotinib,0.767143403
Sorafenib,0.777411451
Zanubrutinib,0.789944147
Capivasertib,0.650852793
Alpelisib,
Duvelisib,
Idelalisib,
Inavolisib,
Lazertinib,
Leniolisib,
Mitapivat,
Tenalisib,
